Receptor,Moment,Treg,Thelper,NK,CD8
IL2Ra,1,3.573827188,2.708768594,2.06056585,2.384813814
IL2Rb,1,3.283964626,3.375911766,3.590665486,3.489489109
gc,1,3.303613752,3.19274685,3.056705283,3.204656753
IL15Ra,1,-6,-6,-6,-6
IL7Ra,1,3.55,4.28,1.25,4.11
