Skew,Variance,Mean,Dose,Cell,Date,Time,Kurtosis,Ligand
5.4110065,435473660.0,16374.072,84.0,Treg,2019-3-19,4.0,150.8472,IL2
1.3786159,460988060.0,17335.598,28.0,Treg,2019-3-19,4.0,2.0027199,IL2
85.95638,5439667000.0,19077.42,9.333333,Treg,2019-3-19,4.0,8172.8193,IL2
0.68416905,209138900.0,17512.873,3.111,Treg,2019-3-19,4.0,0.96122074,IL2
0.73747796,92426430.0,12621.281,1.037037,Treg,2019-3-19,4.0,1.4698586,IL2
3.719838,225995180.0,8544.198,0.345679,Treg,2019-3-19,4.0,15.4862385,IL2
3.2696242,25819548.0,1546.8145,0.115226,Treg,2019-3-19,4.0,12.930188,IL2
5.13397,17774110.0,343.42188,0.038409,Treg,2019-3-19,4.0,28.954739,IL2
1.0188844,3535378.2,0.0,0.012803,Treg,2019-3-19,4.0,1.651257,IL2
1.6431541,4524802.5,199.52441,0.004268,Treg,2019-3-19,4.0,6.563939,IL2
0.98516303,3339600.2,87.83789,0.001423,Treg,2019-3-19,4.0,1.8436799,IL2
1.1711565,3462858.2,70.94141,0.000474,Treg,2019-3-19,4.0,2.8209367,IL2
4.7955413,494939680.0,18516.197,84.0,Thelper,2019-3-19,4.0,155.82095,IL2
1.2584503,429210780.0,17967.549,28.0,Thelper,2019-3-19,4.0,1.4181099,IL2
1.1912619,490960600.0,19422.521,9.333333,Thelper,2019-3-19,4.0,1.0195723,IL2
1.8402238,341408700.0,15613.811,3.111,Thelper,2019-3-19,4.0,5.8400316,IL2
2.1137009,226472270.0,11358.521,1.037037,Thelper,2019-3-19,4.0,5.411792,IL2
2.9353843,469551550.0,11528.477,0.345679,Thelper,2019-3-19,4.0,9.37988,IL2
5.1007543,293790460.0,5126.8286,0.115226,Thelper,2019-3-19,4.0,27.807331,IL2
4.684412,116558170.0,2860.8423,0.038409,Thelper,2019-3-19,4.0,22.990915,IL2
8.121351,19096662.0,762.42944,0.012803,Thelper,2019-3-19,4.0,74.39382,IL2
1.1879015,1833862.4,0.0,0.004268,Thelper,2019-3-19,4.0,1.937293,IL2
1.286412,2778126.5,18.953613,0.001423,Thelper,2019-3-19,4.0,1.5900726,IL2
2.5152078,5184225.5,774.3721,0.000474,Thelper,2019-3-19,4.0,10.606181,IL2
2.739952,733883400.0,20351.041,84.0,Treg,2019-3-19,2.0,39.98348,IL2
