value,partials
0.0009524119318163655,"Partials(0.0009524119318163655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.02951049623611558,"Partials(0.0, 0.02951049623611558, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.6404403140542156,"Partials(0.0, 0.0, 0.6404403140542156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.09999239423795625,"Partials(0.0, 0.0, 0.0, 0.09999239423795625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.09999239423795625,"Partials(0.0, 0.0, 0.0, 0.0, 0.09999239423795625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.09999239423795625,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.09999239423795625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.09999239423795625,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09999239423795625, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.9997559798545996,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9997559798545996, 0.0, 0.0, 0.0, 0.0)"
0.04053564033198866,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04053564033198866, 0.0, 0.0, 0.0)"
1.5520231256335664,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5520231256335664, 0.0, 0.0)"
0.09571258903030612,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09571258903030612, 0.0)"
0.11287021773245007,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11287021773245007)"
0.14306845115771144,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1.991672397418378,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.0137463037444037,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0766515409399301,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.3617458003015815,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0021439776440829814,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0010300850727876982,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0010300850727876982,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0010300850727876982,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0009999594203128057,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.0009999595835781558,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
0.007321351402140281,"Partials(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
