Skew,alphStatCov,Dose,Time,Cell,Kurtosis,Date,Variance,Ligand,Mean
5.4110065,1163986.609,84,4,Treg,150.8472,3/19/2019,435473660,IL2,16374.072
1.3786159,469328.8966,28,4,Treg,2.0027199,3/19/2019,460988060,IL2,17335.598
85.95638,815787.6387,9.333333,4,Treg,8172.8193,3/19/2019,5439667000,IL2,19077.42
0.68416905,12671.53687,3.111,4,Treg,0.96122074,3/19/2019,209138900,IL2,17512.873
0.73747796,63511.37165,1.037037,4,Treg,1.4698586,3/19/2019,92426430,IL2,12621.281
3.719838,-79512.94607,0.345679,4,Treg,15.4862385,3/19/2019,225995180,IL2,8544.198
3.2696242,-602684.6804,0.115226,4,Treg,12.930188,3/19/2019,25819548,IL2,1546.8145
5.13397,-149216.683,0.038409,4,Treg,28.954739,3/19/2019,17774110,IL2,343.42188
1.0188844,-44627.87218,0.012803,4,Treg,1.651257,3/19/2019,3535378.2,IL2,0
1.6431541,31766.53199,0.004268,4,Treg,6.563939,3/19/2019,4524802.5,IL2,199.52441
0.98516303,-3756.60094,0.001423,4,Treg,1.8436799,3/19/2019,3339600.2,IL2,87.83789
1.1711565,-30340.52127,0.000474,4,Treg,2.8209367,3/19/2019,3462858.2,IL2,70.94141
4.7955413,1153852.839,84,4,Thelper,155.82095,3/19/2019,494939680,IL2,18516.197
1.2584503,170737.8097,28,4,Thelper,1.4181099,3/19/2019,429210780,IL2,17967.549
1.1912619,276803.7269,9.333333,4,Thelper,1.0195723,3/19/2019,490960600,IL2,19422.521
1.8402238,1216850.333,3.111,4,Thelper,5.8400316,3/19/2019,341408700,IL2,15613.811
2.1137009,1221179.795,1.037037,4,Thelper,5.411792,3/19/2019,226472270,IL2,11358.521
2.9353843,1344763.618,0.345679,4,Thelper,9.37988,3/19/2019,469551550,IL2,11528.477
5.1007543,2328793.004,0.115226,4,Thelper,27.807331,3/19/2019,293790460,IL2,5126.8286
4.684412,1068584.959,0.038409,4,Thelper,22.990915,3/19/2019,116558170,IL2,2860.8423
8.121351,200826.0323,0.012803,4,Thelper,74.39382,3/19/2019,19096662,IL2,762.42944
1.1879015,38230.14074,0.004268,4,Thelper,1.937293,3/19/2019,1833862.4,IL2,0
1.286412,-170198.6732,0.001423,4,Thelper,1.5900726,3/19/2019,2778126.5,IL2,18.953613
2.5152078,-354642.4444,0.000474,4,Thelper,10.606181,3/19/2019,5184225.5,IL2,774.3721
2.739952,278742.8054,84,2,Treg,39.98348,3/19/2019,733883400,IL2,20351.041
1.378068,83567.6115,28,2,Treg,1.6552501,3/19/2019,679924000,IL2,19983.217
0.7729262,29058.29182,9.333333,2,Treg,0.470958,3/19/2019,455921100,IL2,21814.24
0.53627026,-302740.4211,3.111,2,Treg,0.7339709,3/19/2019,270229220,IL2,20362.203
0.9252267,34714.12589,1.037037,2,Treg,0.52653456,3/19/2019,46222024,IL2,7178.771
5.3345246,201842.3393,0.345679,2,Treg,32.794743,3/19/2019,115929576,IL2,4242.36
5.243679,-6423.915559,0.115226,2,Treg,32.08648,3/19/2019,83194500,IL2,2252.0273
9.893899,62054.36571,0.038409,2,Treg,139.69862,3/19/2019,16749989,IL2,613.9287
6.4397783,32522.02435,0.012803,2,Treg,67.6767,3/19/2019,8762278,IL2,367.36426
7.8894615,-39254.05681,0.004268,2,Treg,93.40018,3/19/2019,8960021,IL2,216.4253
5.6918726,-128500.9841,0.001423,2,Treg,45.982475,3/19/2019,8682289,IL2,0
3.7524314,-297430.0966,0.000474,2,Treg,20.465237,3/19/2019,8607766,IL2,566.2803
1.3117425,62710.63692,84,2,Thelper,2.5979285,3/19/2019,736669250,IL2,21950.959
1.1114688,167556.3326,28,2,Thelper,0.6077175,3/19/2019,643630200,IL2,21662.76
1.4683824,1461470.029,9.333333,2,Thelper,2.1940327,3/19/2019,497016960,IL2,16014.789
0.8775075,3315079.988,3.111,2,Thelper,0.5147605,3/19/2019,280849860,IL2,16433.238
2.7317545,1278636.244,1.037037,2,Thelper,8.430265,3/19/2019,103973600,IL2,5106.7026
4.4720836,1831506.639,0.345679,2,Thelper,24.23084,3/19/2019,194499840,IL2,4260.7354
5.666839,435088.1782,0.115226,2,Thelper,39.05716,3/19/2019,42312050,IL2,1252.0869
5.180613,438732.3807,0.038409,2,Thelper,32.52643,3/19/2019,11129800,IL2,193.69653
3.3782117,91564.30332,0.012803,2,Thelper,15.366112,3/19/2019,6274221.5,IL2,0
2.8636441,40746.46486,0.004268,2,Thelper,14.488346,3/19/2019,3555244.5,IL2,45.40088
3.2205606,-436684.8969,0.001423,2,Thelper,12.961476,3/19/2019,6293340.5,IL2,49.64258
1.7012768,-22647.37353,0.000474,2,Thelper,2.800476,3/19/2019,6393180,IL2,258.58252
0.5509098,-151455.9422,84,1,Treg,0.09632707,3/19/2019,469721570,IL2,25194.488
1.2675127,1237696.256,28,1,Treg,1.3162179,3/19/2019,261368660,IL2,12998.063
1.6391593,-18209.10914,9.333333,1,Treg,3.192255,3/19/2019,144728770,IL2,9188.8545
1.3992845,297379.4605,3.111,1,Treg,3.881267,3/19/2019,271630430,IL2,15713.86
3.3654377,433275.8215,1.037037,1,Treg,13.705624,3/19/2019,139249060,IL2,6071.75
3.6355336,626348.5042,0.345679,1,Treg,14.689234,3/19/2019,132735290,IL2,4451.785
7.3428254,-15462.91021,0.115226,1,Treg,54.14641,3/19/2019,106261650,IL2,2162.9053
5.6470456,-59260.96848,0.038409,1,Treg,31.566952,3/19/2019,68974240,IL2,1694.2686
0.26081282,-19934.22985,0.012803,1,Treg,-0.35862207,3/19/2019,1914260.8,IL2,349.00928
5.5695047,156875.979,0.004268,1,Treg,33.320824,3/19/2019,29455010,IL2,1030.8809
0.6288839,-75952.81698,0.001423,1,Treg,0.41252708,3/19/2019,2910086.2,IL2,0
3.4801056,-58210.55371,0.000474,1,Treg,21.883066,3/19/2019,4782771,IL2,234.90039
0.8819713,2018478.908,84,1,Thelper,0.7462628,3/19/2019,505255740,IL2,24666.947
1.703883,-33409.21336,28,1,Thelper,3.3520021,3/19/2019,179394140,IL2,10452.82
1.7087919,-36326.65986,9.333333,1,Thelper,3.4914646,3/19/2019,124059290,IL2,9270.88
1.6434666,787975.5707,3.111,1,Thelper,2.4413004,3/19/2019,326445760,IL2,13061.029
4.593943,1817772.829,1.037037,1,Thelper,31.6372,3/19/2019,338016320,IL2,8323.6
3.2413068,1432523.983,0.345679,1,Thelper,10.805651,3/19/2019,126380584,IL2,4601.45
4.5324173,698797.9366,0.115226,1,Thelper,26.197918,3/19/2019,11522329,IL2,994.7959
3.2521424,421698.3592,0.038409,1,Thelper,16.628849,3/19/2019,6332116.5,IL2,957.29517
1.636054,288281.416,0.012803,1,Thelper,4.1222086,3/19/2019,2452411.8,IL2,494.25903
0.7804803,-30612.31965,0.004268,1,Thelper,0.54281807,3/19/2019,1628471,IL2,0
0.6323785,166850.3914,0.001423,1,Thelper,0.32677174,3/19/2019,1751111.9,IL2,333.17114
4.022318,459.5215274,0.000474,1,Thelper,38.79832,3/19/2019,2700926,IL2,79.14453
0.6499506,1417031.846,84,0.5,Treg,-0.23555541,3/19/2019,626114940,IL2,25588.078
0.7752628,897270.8798,28,0.5,Treg,-0.06659889,3/19/2019,811608260,IL2,27628.781
0.754995,320184.8111,9.333333,0.5,Treg,-0.14679337,3/19/2019,881852400,IL2,29111.867
1.0257125,-579318.4616,3.111,0.5,Treg,1.4706411,3/19/2019,522674300,IL2,22475.832
3.3660693,150530.7716,1.037037,0.5,Treg,14.969166,3/19/2019,133137370,IL2,6667.4043
7.7392225,-128000.4938,0.345679,0.5,Treg,71.459206,3/19/2019,124701890,IL2,2559.2227
6.6644273,-24129.4316,0.115226,0.5,Treg,55.734776,3/19/2019,32221856,IL2,1141.0332
4.569261,-94774.48302,0.038409,0.5,Treg,23.403896,3/19/2019,59220340,IL2,1582.5781
6.3796954,-38324.70936,0.012803,0.5,Treg,56.559467,3/19/2019,12615319,IL2,234.40479
4.9375834,53859.79607,0.004268,0.5,Treg,38.26505,3/19/2019,5053997,IL2,0
5.494599,-45637.00001,0.001423,0.5,Treg,35.82334,3/19/2019,13239263,IL2,113.01611
2.139133,75226.04266,0.000474,0.5,Treg,6.689971,3/19/2019,4833708,IL2,303.53516
1.5418218,790795.9893,84,0.5,Thelper,23.324644,3/19/2019,654836160,IL2,27485.637
0.64044416,768046.7547,28,0.5,Thelper,-0.38652396,3/19/2019,833358140,IL2,31488.645
0.57559097,457472.1527,9.333333,0.5,Thelper,-0.44645762,3/19/2019,856571900,IL2,33121.324
0.46717846,1791336.209,3.111,0.5,Thelper,0.21994781,3/19/2019,396919300,IL2,26300.15
3.2278898,4736.767801,1.037037,0.5,Thelper,12.674312,3/19/2019,54955772,IL2,3594.207
4.305303,852291.8885,0.345679,0.5,Thelper,22.7782,3/19/2019,82761864,IL2,2964.5254
4.708078,791170.1486,0.115226,0.5,Thelper,25.590673,3/19/2019,35375040,IL2,1678.1567
4.606496,196131.1481,0.038409,0.5,Thelper,32.052193,3/19/2019,4863596.5,IL2,16.593018
15.8618965,26266.23752,0.012803,0.5,Thelper,262.62653,3/19/2019,27914028,IL2,103.41504
2.7376428,18299.72034,0.004268,0.5,Thelper,14.498192,3/19/2019,2562272,IL2,40.564453
1.0459334,102860.827,0.001423,0.5,Thelper,1.8817482,3/19/2019,2100144.2,IL2,0
4.2013745,-138762.7335,0.000474,0.5,Thelper,25.854023,3/19/2019,5729712,IL2,859.0305
33.732204,1598038.15,84,4,Treg,2146.0786,3/19/2019,535185630,IL15,12695.105
1.527649,513779.237,28,4,Treg,3.0656018,3/19/2019,182936260,IL15,10404.879
1.5982181,324746.7911,9.333333,4,Treg,3.5662556,3/19/2019,285825340,IL15,12268.123
0.61685514,6171.28775,3.111,4,Treg,-0.20849204,3/19/2019,262711100,IL15,16859.195
0.39542854,595872.0916,1.037037,4,Treg,-0.91771483,3/19/2019,197295630,IL15,14798.674
1.4911283,-53041.28014,0.345679,4,Treg,2.0601196,3/19/2019,84025150,IL15,5735.73
2.2541845,249477.3279,0.115226,4,Treg,6.4091167,3/19/2019,40834144,IL15,3904.7466
4.2318025,100332.8111,0.038409,4,Treg,24.46668,3/19/2019,10669429,IL15,613.31836
7.6850266,51948.10177,0.012803,4,Treg,67.18731,3/19/2019,25212300,IL15,455.77246
0.85716146,-19806.7479,0.004268,4,Treg,1.0101013,3/19/2019,3351689,IL15,36.8916
0.51733077,37149.83494,0.001423,4,Treg,0.10445809,3/19/2019,2562540.5,IL15,68.16211
3.9939766,-98268.75295,0.000474,4,Treg,26.93411,3/19/2019,5515972,IL15,0
1.6957386,1488478.518,84,4,Thelper,2.997726,3/19/2019,255596780,IL15,11963.875
2.2317834,128816.9576,28,4,Thelper,11.440775,3/19/2019,117439120,IL15,8335.369
1.6937712,1066115.483,9.333333,4,Thelper,3.1069517,3/19/2019,241912340,IL15,10833.066
1.1300176,1974916.498,3.111,4,Thelper,0.54213214,3/19/2019,291003200,IL15,13489.944
1.493563,3266053.271,1.037037,4,Thelper,1.4587274,3/19/2019,176744100,IL15,9139.502
2.9603882,1032396.115,0.345679,4,Thelper,10.8788,3/19/2019,60358300,IL15,4023.018
3.561059,166533.617,0.115226,4,Thelper,17.908062,3/19/2019,9589459,IL15,1047.4502
3.4024148,92365.78461,0.038409,4,Thelper,22.16937,3/19/2019,2752432.8,IL15,0
0.773142,-4870.634335,0.012803,4,Thelper,0.16149163,3/19/2019,1600105.5,IL15,175.50415
1.0599624,181011.4703,0.004268,4,Thelper,1.7640758,3/19/2019,1941605.2,IL15,148.74512
3.8368678,99954.69951,0.001423,4,Thelper,28.075531,3/19/2019,3036188.5,IL15,496.88232
0.5915766,-176617.77,0.000474,4,Thelper,0.3452716,3/19/2019,2116971.2,IL15,608.1748
0.5360848,-7411.243096,84,2,Treg,0.55848956,3/19/2019,298645020,IL15,22403.75
21.561874,127083.8857,28,2,Treg,493.05035,3/19/2019,8446548000,IL15,24086.04
0.58946544,351077.2865,9.333333,2,Treg,1.0575337,3/19/2019,267825060,IL15,19993.922
1.0183393,27809.32581,3.111,2,Treg,2.9110188,3/19/2019,276634880,IL15,20061.049
0.74313194,1468915.6,1.037037,2,Treg,-0.35224652,3/19/2019,213380910,IL15,13279.734
2.819512,398551.6001,0.345679,2,Treg,9.666218,3/19/2019,30397682,IL15,3211.217
5.704867,-26700.30093,0.115226,2,Treg,52.13261,3/19/2019,8556551,IL15,1198.0261
0.43279126,56392.37496,0.038409,2,Treg,-0.028300524,3/19/2019,2550890,IL15,508.41577
8.536223,71686.06181,0.012803,2,Treg,83.84364,3/19/2019,24426962,IL15,809.5613
0.58697784,27255.89419,0.004268,2,Treg,0.6960368,3/19/2019,1690994,IL15,84.5813
0.6063989,17361.79959,0.001423,2,Treg,-0.4125197,3/19/2019,2134614.8,IL15,0
7.4850335,74094.80579,0.000474,2,Treg,71.714264,3/19/2019,10316294,IL15,672.1892
1.8090143,1318834.956,84,2,Thelper,2.907681,3/19/2019,246532780,IL15,10643.518
1.7630837,2891292.621,28,2,Thelper,4.3298454,3/19/2019,304710900,IL15,12885.584
1.9041467,2618714.144,9.333333,2,Thelper,3.2420325,3/19/2019,249237840,IL15,9812.051
1.5270542,1620684.256,3.111,2,Thelper,1.9451752,3/19/2019,260430980,IL15,11202.061
2.654665,923948.492,1.037037,2,Thelper,7.683552,3/19/2019,98935080,IL15,5407.174
2.4335022,396304.6514,0.345679,2,Thelper,6.48015,3/19/2019,6117266,IL15,1040.9736
1.1990739,236012.4526,0.115226,2,Thelper,2.1989527,3/19/2019,1852061.5,IL15,566.7246
0.8096819,58071.39872,0.038409,2,Thelper,1.3362913,3/19/2019,1110973.6,IL15,0
3.2820837,64186.49129,0.012803,2,Thelper,18.358786,3/19/2019,2089515.2,IL15,299.46533
0.5682608,213557.5822,0.004268,2,Thelper,0.28742552,3/19/2019,1912192.4,IL15,521.76074
6.3076367,328015.5548,0.001423,2,Thelper,40.95648,3/19/2019,14914245,IL15,834.3259
1.3484932,1233.503336,0.000474,2,Thelper,4.0134563,3/19/2019,1309489.8,IL15,485.77173
1.5252632,-3544173.279,84,1,Treg,2.6729188,3/19/2019,913392830,IL15,24171.148
0.74018234,-255123.2252,28,1,Treg,-0.35414028,3/19/2019,715052500,IL15,25201.105
0.84622306,-577322.4259,9.333333,1,Treg,-0.033597946,3/19/2019,857596160,IL15,27898.793
1.1267037,652474.1216,3.111,1,Treg,0.87249327,3/19/2019,622603970,IL15,19876.969
1.3760402,-172422.1133,1.037037,1,Treg,2.058126,3/19/2019,360558560,IL15,14701.04
10.885386,-171337.4661,0.345679,1,Treg,131.7026,3/19/2019,638713200,IL15,4961.8545
4.743542,-47136.59137,0.115226,1,Treg,36.69008,3/19/2019,5668018.5,IL15,216.66064
3.7051177,57153.70283,0.038409,1,Treg,18.682962,3/19/2019,7424984,IL15,0
2.185092,19107.34694,0.012803,1,Treg,14.610561,3/19/2019,3149182.5,IL15,122.92969
9.990239,20981.09446,0.004268,1,Treg,159.56561,3/19/2019,9310654,IL15,310.21533
8.606976,34463.43032,0.001423,1,Treg,131.08049,3/19/2019,7563932,IL15,220.69043
6.6101265,655735.2012,0.000474,1,Treg,57.370304,3/19/2019,28564326,IL15,852.44775
1.3332784,-407812.3789,84,1,Thelper,0.9708607,3/19/2019,419692740,IL15,14511.282
1.4048642,1066131.993,28,1,Thelper,1.5844927,3/19/2019,433032860,IL15,15066.575
1.2682856,536858.1773,9.333333,1,Thelper,0.96423626,3/19/2019,505185000,IL15,17074.938
1.733267,869676.8495,3.111,1,Thelper,3.9026165,3/19/2019,388797900,IL15,13643.905
1.5082908,1401806.72,1.037037,1,Thelper,1.7072358,3/19/2019,203326200,IL15,10081.058
5.0704317,115243.3097,0.345679,1,Thelper,36.022823,3/19/2019,15886109,IL15,1593.8875
1.4384576,60593.87246,0.115226,1,Thelper,2.9064636,3/19/2019,2142221.2,IL15,143.46948
2.6215787,46156.24585,0.038409,1,Thelper,13.725788,3/19/2019,2195629.2,IL15,0
3.4069273,90282.07451,0.012803,1,Thelper,33.860085,3/19/2019,2181331.8,IL15,157.6748
7.6347404,82988.61138,0.004268,1,Thelper,100.04892,3/19/2019,4618680,IL15,682.3186
3.919634,74301.16857,0.001423,1,Thelper,55.240852,3/19/2019,2402479.5,IL15,383.14014
8.58766,82013.38708,0.000474,1,Thelper,205.54947,3/19/2019,3290852.2,IL15,549.1848
0.60768014,-369405.8536,84,0.5,Treg,-0.5204396,3/19/2019,610716540,IL15,25903.64
0.35035667,72674.97992,28,0.5,Treg,-0.66762495,3/19/2019,451207800,IL15,25948.04
0.7806086,1030726.504,9.333333,0.5,Treg,-0.09279156,3/19/2019,552026750,IL15,23713.031
0.8509037,521867.8345,3.111,0.5,Treg,0.45045614,3/19/2019,734642050,IL15,27588.547
-0.21345581,-225147.9214,1.037037,0.5,Treg,-0.6821823,3/19/2019,215486530,IL15,23405.66
