Dose,Ligand,Skew,Date,Variance,Mean,Kurtosis,alphStatCov,Cell,Time
84.0,WT N-term,0,3/1/2019,0,2256.8712769000003,0,0,NK,0.5
28.0,WT N-term,0,3/1/2019,0,1961.7255248999998,0,0,NK,0.5
9.333333,WT N-term,0,3/1/2019,0,395.4417109,0,0,NK,0.5
3.111,WT N-term,0,3/1/2019,0,353.6280517,0,0,NK,0.5
1.037037,WT N-term,0,3/1/2019,0,231.60797119999984,0,0,NK,0.5
0.345679,WT N-term,0,3/1/2019,0,277.4361571999997,0,0,NK,0.5
0.115226,WT N-term,0,3/1/2019,0,228.98803710000016,0,0,NK,0.5
0.038409,WT N-term,0,3/1/2019,0,110.78588860000002,0,0,NK,0.5
0.012803,WT N-term,0,3/1/2019,0,0.0,0,0,NK,0.5
0.004268,WT N-term,0,3/1/2019,0,66.72808829999985,0,0,NK,0.5
0.001423,WT N-term,0,3/1/2019,0,73.17657469999995,0,0,NK,0.5
0.000474,WT N-term,0,3/1/2019,0,85.19708249999996,0,0,NK,0.5
84.0,WT N-term,0,3/1/2019,0,2566.1936035999997,0,0,NK,1.0
28.0,WT N-term,0,3/1/2019,0,1750.7624515999996,0,0,NK,1.0
9.333333,WT N-term,0,3/1/2019,0,297.98254399999996,0,0,NK,1.0
3.111,WT N-term,0,3/1/2019,0,255.70422369999994,0,0,NK,1.0
1.037037,WT N-term,0,3/1/2019,0,227.1490478999999,0,0,NK,1.0
0.345679,WT N-term,0,3/1/2019,0,188.19165039999996,0,0,NK,1.0
0.115226,WT N-term,0,3/1/2019,0,152.26159669999993,0,0,NK,1.0
0.038409,WT N-term,0,3/1/2019,0,67.35107430000005,0,0,NK,1.0
0.012803,WT N-term,0,3/1/2019,0,136.89117439999984,0,0,NK,1.0
0.004268,WT N-term,0,3/1/2019,0,111.8941650999999,0,0,NK,1.0
0.001423,WT N-term,0,3/1/2019,0,81.06982430000005,0,0,NK,1.0
0.000474,WT N-term,0,3/1/2019,0,0.0,0,0,NK,1.0
84.0,WT N-term,0,3/1/2019,0,1980.2075199,0,0,NK,2.0
28.0,WT N-term,0,3/1/2019,0,1569.772704900001,0,0,NK,2.0
9.333333,WT N-term,0,3/1/2019,0,435.64318890000015,0,0,NK,2.0
3.111,WT N-term,0,3/1/2019,0,148.7424926000001,0,0,NK,2.0
1.037037,WT N-term,0,3/1/2019,0,153.91876219999995,0,0,NK,2.0
0.345679,WT N-term,0,3/1/2019,0,139.95001219999995,0,0,NK,2.0
0.115226,WT N-term,0,3/1/2019,0,68.08618160000026,0,0,NK,2.0
