Time,Variance,Skew,Dose,Cell,Date,Ligand,Mean,alphStatCov,Kurtosis,Bivalent
4.0,887770309.87598,1.4547121093232376,84.0,Treg,11/8/2019,WT N-term,29610.82181343896,155608.73525549297,2.2236779268126456,0.0
4.0,707426114.4450067,1.7885486241630195,28.0,Treg,11/8/2019,WT N-term,29537.734145231916,-2511280.826344314,4.435403115275127,0.0
4.0,309651962.76910233,0.5385914287859588,9.333333,Treg,11/8/2019,WT N-term,21927.9003264029,-1174880.6157037502,1.728960326405855,0.0
4.0,720393663.602288,4.063018713830397,3.111,Treg,11/8/2019,WT N-term,27497.21338760519,-2021611.962358821,24.41389615159609,0.0
4.0,382601097.99795896,0.8805113239000587,1.037037,Treg,11/8/2019,WT N-term,25962.19387550794,-1030037.8781055167,2.0497538045475654,0.0
4.0,362514489.62683296,0.21092986847678846,0.345679,Treg,11/8/2019,WT N-term,22950.359582936027,-1481011.2088426845,-0.39282031267985795,0.0
4.0,136505238.2291077,-0.6987088129881854,0.115226,Treg,11/8/2019,WT N-term,23002.19195751901,-221129.49746775415,0.3277061989770762,0.0
4.0,356233711.01267564,0.2875916325265806,0.038409,Treg,11/8/2019,WT N-term,25520.26521904017,-748936.3942702367,0.07520356205532819,0.0
4.0,2791612198.5704384,6.405984272131147,0.012803,Treg,11/8/2019,WT N-term,28696.78408946676,546546.4370261845,47.780337296471025,0.0
4.0,131157222.10805169,0.017905682980382847,0.004268,Treg,11/8/2019,WT N-term,12410.89671271041,579944.7858707191,-0.6058684587247223,0.0
4.0,106342422.01243454,0.4797280684956434,0.001423,Treg,11/8/2019,WT N-term,6152.706436166825,-659770.0971928856,-0.4937254128949826,0.0
4.0,69880355.11078644,1.55753019558152,0.000474,Treg,11/8/2019,WT N-term,0.0,19387.08503341025,2.025830256849365,0.0
4.0,414029347.58830416,1.102755489433628,84.0,Thelper,11/8/2019,WT N-term,18144.742784616436,1531390.8714094684,1.3836715398888195,0
4.0,453884250.62473166,0.9823444392640153,28.0,Thelper,11/8/2019,WT N-term,22501.88154526784,2070549.9262466347,1.8722197146522657,0
4.0,355237352.37647086,0.7547719063052497,9.333333,Thelper,11/8/2019,WT N-term,18036.056228644647,1471862.2952338636,-0.18739969613560437,0
4.0,349001947.41278106,0.9173302461270543,3.111,Thelper,11/8/2019,WT N-term,16197.132224119649,1408919.4868021165,0.018272573380206047,0
4.0,303103402.11225754,0.8593475566085643,1.037037,Thelper,11/8/2019,WT N-term,17390.604400430726,2214643.615972061,0.866028747865109,0
4.0,302483059.93582404,0.6974140932238257,0.345679,Thelper,11/8/2019,WT N-term,17268.477347102325,1929308.4965143292,-0.3341757144543678,0
4.0,206910892.77223435,0.8134679759413904,0.115226,Thelper,11/8/2019,WT N-term,13479.308826014323,1834958.3691291937,0.10400535763712382,0
4.0,196385451.75589347,1.2001625712159587,0.038409,Thelper,11/8/2019,WT N-term,11224.322460289597,2743625.2182249296,0.9247238987711359,0
4.0,81338571.95630075,2.8509859133783912,0.012803,Thelper,11/8/2019,WT N-term,4458.109850172996,1528635.627868013,11.236221548347284,0
4.0,35160140.01871175,3.700593767620148,0.004268,Thelper,11/8/2019,WT N-term,1747.5955328020498,1105214.6803802378,16.80299985180529,0
4.0,10979736.851902623,4.159163308339631,0.001423,Thelper,11/8/2019,WT N-term,241.29440225468738,456310.98231183033,21.436755736704022,0
4.0,8989935.786370728,6.227814112848073,0.000474,Thelper,11/8/2019,WT N-term,0.0,315178.8324338584,59.850729880785245,0
