Mean,Kurtosis,Date,Ligand,Cell,Time,Skew,Variance,Dose
0.0,1.9372930526733398,2019-3-19,IL2,T-helper,4.0,1.187901496887207,1833862.375,0.004268
18.95361328125,1.5900726318359375,2019-3-19,IL2,T-helper,4.0,1.286412000656128,2778126.5,0.001423
774.3720703125,10.606181144714355,2019-3-19,IL2,T-helper,4.0,2.5152077674865723,5184225.5,0.000474
39227.69921875,-0.3964266777038574,2019-3-19,IL2,Mem Th,4.0,0.2575327455997467,653218368.0,84.0
31565.29296875,0.13785743713378906,2019-3-19,IL2,Mem Th,4.0,0.638770341873169,822754624.0,28.0
37296.54296875,-0.44536423683166504,2019-3-19,IL2,Mem Th,4.0,0.333310067653656,816733248.0,9.333333
17065.33984375,-0.7375502586364746,2019-3-19,IL2,Mem Th,4.0,0.9158404469490051,535266592.0,3.111
19498.287109375,0.36228156089782715,2019-3-19,IL2,Mem Th,4.0,1.30314302444458,689184640.0,1.037037
39974.40234375,0.20469999313354492,2019-3-19,IL2,Mem Th,4.0,1.1109122037887573,1190240640.0,0.345679
5678.83935546875,-0.16880440711975098,2019-3-19,IL2,Mem Th,4.0,1.247875452041626,99464568.0,0.115226
10466.564453125,3.4045190811157227,2019-3-19,IL2,Mem Th,4.0,2.0696158409118652,381234016.0,0.038409
218.33935546875,1.8052220344543457,2019-3-19,IL2,Mem Th,4.0,1.7316123247146606,526691.0,0.012803
889.71435546875,1.8425836563110352,2019-3-19,IL2,Mem Th,4.0,1.5138124227523804,3328380.75,0.004268
1879.314453125,-0.5353562831878662,2019-3-19,IL2,Mem Th,4.0,0.47939062118530273,4876976.0,0.001423
0.0,-0.691791296005249,2019-3-19,IL2,Mem Th,4.0,0.7527427077293396,1192336.375,0.000474
14893.0166015625,339.16986083984375,2019-3-19,IL2,Naive Th,4.0,8.07984733581543,369663072.0,84.0
17423.369140625,1.2489657402038574,2019-3-19,IL2,Naive Th,4.0,1.2506442070007324,391708224.0,28.0
18459.873046875,1.1479320526123047,2019-3-19,IL2,Naive Th,4.0,1.2359882593154907,443546496.0,9.333333
15810.0849609375,7.84519100189209,2019-3-19,IL2,Naive Th,4.0,2.063300132751465,315673440.0,3.111
11052.19921875,5.02584171295166,2019-3-19,IL2,Naive Th,4.0,1.9697747230529785,183844784.0,1.037037
6995.8046875,14.666915893554688,2019-3-19,IL2,Naive Th,4.0,3.51208758354187,186244448.0,0.345679
5448.10546875,25.663957595825195,2019-3-19,IL2,Naive Th,4.0,5.033441066741943,334699648.0,0.115226
1598.113525390625,56.54070281982422,2019-3-19,IL2,Naive Th,4.0,7.264495849609375,43685792.0,0.038409
