Dose,Date,Skew,Kurtosis,Time,Cell,Variance,Ligand,Mean,alphStatCov
84,3/19/2019,5.4110065,150.8472,4,Treg,435473660,IL2,16374.072,1163986.609
28,3/19/2019,1.3786159,2.0027199,4,Treg,460988060,IL2,17335.598,469328.8966
9.333333,3/19/2019,85.95638,8172.8193,4,Treg,5439667000,IL2,19077.42,815787.6387
3.111,3/19/2019,0.68416905,0.96122074,4,Treg,209138900,IL2,17512.873,12671.53687
1.037037,3/19/2019,0.73747796,1.4698586,4,Treg,92426430,IL2,12621.281,63511.37165
0.345679,3/19/2019,3.719838,15.4862385,4,Treg,225995180,IL2,8544.198,-79512.94607
0.115226,3/19/2019,3.2696242,12.930188,4,Treg,25819548,IL2,1546.8145,-602684.6804
0.038409,3/19/2019,5.13397,28.954739,4,Treg,17774110,IL2,343.42188,-149216.683
0.012803,3/19/2019,1.0188844,1.651257,4,Treg,3535378.2,IL2,0,-44627.87218
0.004268,3/19/2019,1.6431541,6.563939,4,Treg,4524802.5,IL2,199.52441,31766.53199
0.001423,3/19/2019,0.98516303,1.8436799,4,Treg,3339600.2,IL2,87.83789,-3756.60094
0.000474,3/19/2019,1.1711565,2.8209367,4,Treg,3462858.2,IL2,70.94141,-30340.52127
84,3/19/2019,4.7955413,155.82095,4,Thelper,494939680,IL2,18516.197,1153852.839
28,3/19/2019,1.2584503,1.4181099,4,Thelper,429210780,IL2,17967.549,170737.8097
9.333333,3/19/2019,1.1912619,1.0195723,4,Thelper,490960600,IL2,19422.521,276803.7269
3.111,3/19/2019,1.8402238,5.8400316,4,Thelper,341408700,IL2,15613.811,1216850.333
1.037037,3/19/2019,2.1137009,5.411792,4,Thelper,226472270,IL2,11358.521,1221179.795
0.345679,3/19/2019,2.9353843,9.37988,4,Thelper,469551550,IL2,11528.477,1344763.618
0.115226,3/19/2019,5.1007543,27.807331,4,Thelper,293790460,IL2,5126.8286,2328793.004
0.038409,3/19/2019,4.684412,22.990915,4,Thelper,116558170,IL2,2860.8423,1068584.959
0.012803,3/19/2019,8.121351,74.39382,4,Thelper,19096662,IL2,762.42944,200826.0323
0.004268,3/19/2019,1.1879015,1.937293,4,Thelper,1833862.4,IL2,0,38230.14074
0.001423,3/19/2019,1.286412,1.5900726,4,Thelper,2778126.5,IL2,18.953613,-170198.6732
0.000474,3/19/2019,2.5152078,10.606181,4,Thelper,5184225.5,IL2,774.3721,-354642.4444
84,3/19/2019,2.739952,39.98348,2,Treg,733883400,IL2,20351.041,278742.8054
28,3/19/2019,1.378068,1.6552501,2,Treg,679924000,IL2,19983.217,83567.6115
9.333333,3/19/2019,0.7729262,0.470958,2,Treg,455921100,IL2,21814.24,29058.29182
3.111,3/19/2019,0.53627026,0.7339709,2,Treg,270229220,IL2,20362.203,-302740.4211
1.037037,3/19/2019,0.9252267,0.52653456,2,Treg,46222024,IL2,7178.771,34714.12589
0.345679,3/19/2019,5.3345246,32.794743,2,Treg,115929576,IL2,4242.36,201842.3393
0.115226,3/19/2019,5.243679,32.08648,2,Treg,83194500,IL2,2252.0273,-6423.915559
0.038409,3/19/2019,9.893899,139.69862,2,Treg,16749989,IL2,613.9287,62054.36571
0.012803,3/19/2019,6.4397783,67.6767,2,Treg,8762278,IL2,367.36426,32522.02435
0.004268,3/19/2019,7.8894615,93.40018,2,Treg,8960021,IL2,216.4253,-39254.05681
0.001423,3/19/2019,5.6918726,45.982475,2,Treg,8682289,IL2,0,-128500.9841
0.000474,3/19/2019,3.7524314,20.465237,2,Treg,8607766,IL2,566.2803,-297430.0966
84,3/19/2019,1.3117425,2.5979285,2,Thelper,736669250,IL2,21950.959,62710.63692
28,3/19/2019,1.1114688,0.6077175,2,Thelper,643630200,IL2,21662.76,167556.3326
9.333333,3/19/2019,1.4683824,2.1940327,2,Thelper,497016960,IL2,16014.789,1461470.029
3.111,3/19/2019,0.8775075,0.5147605,2,Thelper,280849860,IL2,16433.238,3315079.988
1.037037,3/19/2019,2.7317545,8.430265,2,Thelper,103973600,IL2,5106.7026,1278636.244
0.345679,3/19/2019,4.4720836,24.23084,2,Thelper,194499840,IL2,4260.7354,1831506.639
0.115226,3/19/2019,5.666839,39.05716,2,Thelper,42312050,IL2,1252.0869,435088.1782
0.038409,3/19/2019,5.180613,32.52643,2,Thelper,11129800,IL2,193.69653,438732.3807
0.012803,3/19/2019,3.3782117,15.366112,2,Thelper,6274221.5,IL2,0,91564.30332
0.004268,3/19/2019,2.8636441,14.488346,2,Thelper,3555244.5,IL2,45.40088,40746.46486
0.001423,3/19/2019,3.2205606,12.961476,2,Thelper,6293340.5,IL2,49.64258,-436684.8969
0.000474,3/19/2019,1.7012768,2.800476,2,Thelper,6393180,IL2,258.58252,-22647.37353
84,3/19/2019,0.5509098,0.09632707,1,Treg,469721570,IL2,25194.488,-151455.9422
28,3/19/2019,1.2675127,1.3162179,1,Treg,261368660,IL2,12998.063,1237696.256
